Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
SpanJson_Deser_D2_W50_T,15,174732,"5,734.77 ns",38.613 ns,36.119 ns,196.78 uj,1.21 uj,6.43 uj,49.93,0.4693,0.0057,3968 B
SpanJson_Deser_D2_W5_B,15,4135152,237.67 ns,1.343 ns,1.257 ns,8.32 uj,0.04 uj,0.27 uj,49.93,0.0075,0,64 B
SpanJson_Deser_D2_W5_N,15,3275600,301.19 ns,1.475 ns,1.380 ns,10.50 uj,0.05 uj,0.34 uj,49.9,0.0095,0,80 B
SpanJson_Deser_D2_W5_T,15,2010752,495.33 ns,2.280 ns,2.133 ns,17.16 uj,0.07 uj,0.57 uj,49.8,0.0438,0,368 B
SpanJson_Deser_D5_W100_B,15,53870,"18,570.46 ns",140.728 ns,131.638 ns,620.83 uj,4.34 uj,20.82 uj,48.67,0.0743,0,640 B
SpanJson_Deser_D5_W100_N,15,31729,"31,629.96 ns",218.974 ns,204.828 ns,1056.90 uj,6.68 uj,35.46 uj,48.87,0.2521,0,2120 B
SpanJson_Deser_D5_W100_T,15,23009,"43,271.28 ns",217.977 ns,203.895 ns,1483.18 uj,6.01 uj,48.74 uj,49.43,2.3469,0.1304,19920 B
SpanJson_Deser_D5_W20_B,15,423600,"2,366.17 ns",10.223 ns,9.563 ns,81.38 uj,0.33 uj,2.66 uj,50.13,0.0283,0,240 B
SpanJson_Deser_D5_W20_N,15,337063,"2,968.76 ns",19.521 ns,18.260 ns,101.86 uj,0.61 uj,3.33 uj,49.93,0.0593,0,520 B
SpanJson_Deser_D5_W20_T,15,184866,"5,440.71 ns",56.679 ns,53.018 ns,186.75 uj,1.82 uj,6.16 uj,50.03,0.4652,0.0054,3920 B
SpanJson_Deser_D5_W50_B,15,141531,"7,083.95 ns",51.465 ns,48.141 ns,242.95 uj,1.69 uj,7.94 uj,49.53,0.0424,0,400 B
SpanJson_Deser_D5_W50_N,15,121347,"8,239.66 ns",56.332 ns,52.693 ns,282.73 uj,1.74 uj,9.24 uj,49.67,0.1319,0,1120 B
SpanJson_Deser_D5_W50_T,15,69810,"14,283.51 ns",72.720 ns,68.023 ns,490.00 uj,2.37 uj,16.13 uj,49.5,1.1746,0.0286,9920 B
SpanJson_Deser_D5_W5_B,15,1641328,605.87 ns,2.969 ns,2.778 ns,20.95 uj,0.09 uj,0.69 uj,50.03,0.0189,0,160 B
SpanJson_Deser_D5_W5_N,15,1372032,724.71 ns,4.442 ns,4.155 ns,25.03 uj,0.14 uj,0.82 uj,49.57,0.0233,0,200 B
SpanJson_Deser_D5_W5_T,15,842784,"1,178.17 ns",6.581 ns,6.156 ns,40.61 uj,0.22 uj,1.35 uj,49.73,0.1092,0,920 B
SpanJson_Ser_D10_W100_B,15,114567,"8,791.21 ns",90.787 ns,84.923 ns,301.32 uj,2.86 uj,10.05 uj,49.5,1.7108,0,14376 B
SpanJson_Ser_D10_W100_N,15,53475,"18,768.46 ns",114.185 ns,106.809 ns,644.16 uj,3.73 uj,21.22 uj,50.03,1.7578,0,14880 B
SpanJson_Ser_D10_W100_T,15,41038,"24,381.38 ns",139.742 ns,130.715 ns,839.82 uj,4.57 uj,27.38 uj,50.23,1.7545,0,14880 B
SpanJson_Ser_D10_W20_B,15,624368,"1,614.21 ns",26.683 ns,24.959 ns,54.18 uj,0.89 uj,1.85 uj,49.13,0.3315,0,2784 B
SpanJson_Ser_D10_W20_N,15,267256,"3,762.74 ns",36.798 ns,34.421 ns,129.18 uj,1.14 uj,4.22 uj,50.2,0.3405,0,2880 B
SpanJson_Ser_D10_W20_T,15,210878,"4,758.00 ns",41.456 ns,38.778 ns,163.39 uj,1.36 uj,5.35 uj,50.03,0.3414,0,2880 B
SpanJson_Ser_D10_W50_B,15,233569,"4,285.01 ns",35.456 ns,33.166 ns,143.99 uj,1.19 uj,4.86 uj,48.5,0.852,0,7128 B
SpanJson_Ser_D10_W50_N,15,95283,"10,520.93 ns",90.676 ns,84.818 ns,362.68 uj,2.87 uj,11.81 uj,49.97,0.8816,0,7376 B
SpanJson_Ser_D10_W50_T,15,82079,"12,225.24 ns",107.320 ns,100.387 ns,422.87 uj,3.88 uj,13.71 uj,50.17,0.8772,0,7376 B
SpanJson_Ser_D10_W5_B,15,2713888,364.10 ns,1.709 ns,1.598 ns,12.64 uj,0.05 uj,0.42 uj,49.57,0.0781,0,656 B
SpanJson_Ser_D10_W5_N,15,1232896,781.85 ns,4.441 ns,4.154 ns,27.01 uj,0.14 uj,0.89 uj,50.07,0.0811,0,680 B
SpanJson_Ser_D10_W5_T,15,902800,"1,105.61 ns",5.356 ns,5.010 ns,38.16 uj,0.18 uj,1.24 uj,49.9,0.0809,0,680 B
SpanJson_Ser_D20_W100_B,15,55792,"17,981.60 ns",131.199 ns,122.724 ns,616.14 uj,3.77 uj,20.23 uj,49.6,3.4234,0,28760 B
SpanJson_Ser_D20_W100_N,15,26611,"37,745.92 ns",329.432 ns,308.151 ns,1295.56 uj,10.27 uj,42.57 uj,49.7,3.5324,0,29736 B
SpanJson_Ser_D20_W100_T,15,16217,"61,893.01 ns",556.336 ns,520.397 ns,2123.99 uj,17.75 uj,69.80 uj,49.63,3.5148,0,29736 B
SpanJson_Ser_D20_W20_B,15,311248,"3,223.91 ns",14.275 ns,13.353 ns,108.22 uj,0.56 uj,3.70 uj,48.67,0.6619,0,5552 B
SpanJson_Ser_D20_W20_N,15,131781,"7,617.10 ns",66.044 ns,61.777 ns,261.41 uj,2.14 uj,8.60 uj,49.73,0.683,0,5736 B
SpanJson_Ser_D20_W20_T,15,97628,"9,947.55 ns",109.838 ns,102.743 ns,341.43 uj,3.47 uj,11.17 uj,49.9,0.676,0,5736 B
SpanJson_Ser_D20_W50_B,15,120192,"8,359.66 ns",71.810 ns,67.171 ns,279.45 uj,2.26 uj,9.39 uj,48.67,1.6973,0,14240 B
SpanJson_Ser_D20_W50_N,15,40176,"25,004.25 ns",253.753 ns,237.360 ns,855.13 uj,7.74 uj,28.10 uj,48.97,1.7423,0,14736 B
SpanJson_Ser_D20_W50_T,15,40860,"24,587.21 ns",193.350 ns,180.859 ns,848.04 uj,5.75 uj,27.79 uj,49.93,1.7376,0,14736 B
SpanJson_Ser_D20_W5_B,15,1384304,720.82 ns,3.865 ns,3.615 ns,24.90 uj,0.12 uj,0.84 uj,49.7,0.1546,0,1296 B
SpanJson_Ser_D20_W5_N,15,610032,"1,584.00 ns",7.859 ns,7.351 ns,54.51 uj,0.24 uj,1.81 uj,49.83,0.159,0,1336 B
SpanJson_Ser_D20_W5_T,15,483056,"2,075.05 ns",8.712 ns,8.150 ns,71.55 uj,0.34 uj,2.36 uj,50,0.1594,0,1336 B
SpanJson_Ser_D2_W100_B,15,555244,"1,807.58 ns",15.252 ns,14.267 ns,62.00 uj,0.49 uj,2.03 uj,49.4,0.3458,0,2896 B
SpanJson_Ser_D2_W100_N,15,264443,"3,792.44 ns",32.823 ns,30.702 ns,130.17 uj,1.05 uj,4.26 uj,50.07,0.3555,0,2992 B
SpanJson_Ser_D2_W100_T,15,201580,"4,803.51 ns",40.576 ns,37.955 ns,165.05 uj,1.35 uj,5.42 uj,50.07,0.3572,0,2992 B
SpanJson_Ser_D2_W20_B,15,2901344,342.44 ns,1.921 ns,1.796 ns,11.72 uj,0.10 uj,0.39 uj,48.93,0.0679,0,568 B
SpanJson_Ser_D2_W20_N,15,1282673,781.57 ns,4.641 ns,4.341 ns,26.83 uj,0.15 uj,0.88 uj,49.6,0.0702,0,592 B
SpanJson_Ser_D2_W20_T,15,1032260,974.03 ns,10.285 ns,9.621 ns,33.43 uj,0.33 uj,1.09 uj,50.03,0.0707,0,592 B
SpanJson_Ser_D2_W50_B,15,1154245,871.37 ns,9.882 ns,9.244 ns,29.14 uj,0.32 uj,0.99 uj,49,0.1715,0,1440 B
SpanJson_Ser_D2_W50_N,15,443217,"2,261.87 ns",15.127 ns,14.149 ns,77.62 uj,0.47 uj,2.55 uj,49.83,0.176,0,1488 B
SpanJson_Ser_D2_W50_T,15,413767,"2,336.70 ns",21.638 ns,20.240 ns,80.25 uj,0.69 uj,2.64 uj,50.07,0.1764,0,1488 B
SpanJson_Ser_D2_W5_B,15,10804368,88.21 ns,0.551 ns,0.515 ns,3.19 uj,0.02 uj,0.10 uj,49.77,0.0172,0,144 B
SpanJson_Ser_D2_W5_N,15,5319088,183.58 ns,0.875 ns,0.818 ns,6.45 uj,0.03 uj,0.21 uj,50.17,0.018,0,152 B
SpanJson_Ser_D2_W5_T,15,4119072,239.28 ns,1.052 ns,0.984 ns,8.37 uj,0.04 uj,0.28 uj,49.97,0.018,0,152 B
SpanJson_Ser_D5_W100_B,15,222223,"4,525.15 ns",41.279 ns,38.613 ns,155.09 uj,1.30 uj,5.15 uj,49.07,0.8595,0,7200 B
SpanJson_Ser_D5_W100_N,15,106217,"9,138.99 ns",89.536 ns,83.752 ns,313.86 uj,2.86 uj,10.32 uj,49.83,0.885,0,7448 B
SpanJson_Ser_D5_W100_T,15,85883,"11,694.93 ns",106.572 ns,99.687 ns,403.66 uj,3.64 uj,13.21 uj,49.97,0.8849,0,7448 B
SpanJson_Ser_D5_W20_B,15,1235344,809.18 ns,4.306 ns,4.028 ns,27.44 uj,0.18 uj,0.93 uj,48.5,0.1668,0,1400 B
SpanJson_Ser_D5_W20_N,15,531223,"1,887.90 ns",11.544 ns,10.798 ns,64.81 uj,0.37 uj,2.12 uj,49.6,0.1713,0,1448 B
SpanJson_Ser_D5_W20_T,15,400965,"2,412.61 ns",22.456 ns,21.006 ns,82.81 uj,0.71 uj,2.73 uj,50.1,0.1721,0,1448 B
SpanJson_Ser_D5_W50_B,15,467041,"2,152.98 ns",19.646 ns,18.377 ns,71.94 uj,0.63 uj,2.46 uj,48.6,0.4282,0,3584 B
SpanJson_Ser_D5_W50_N,15,171901,"5,843.09 ns",60.356 ns,56.457 ns,200.53 uj,1.90 uj,6.59 uj,49.53,0.4363,0,3696 B
SpanJson_Ser_D5_W50_T,15,170818,"5,876.38 ns",61.584 ns,57.606 ns,202.16 uj,1.91 uj,6.63 uj,49.67,0.4391,0,3696 B
SpanJson_Ser_D5_W5_B,15,4822800,204.10 ns,1.033 ns,0.966 ns,7.16 uj,0.03 uj,0.24 uj,49.23,0.04,0,336 B
SpanJson_Ser_D5_W5_N,15,2349712,422.20 ns,2.017 ns,1.886 ns,14.64 uj,0.07 uj,0.48 uj,49.67,0.0417,0,352 B
SpanJson_Ser_D5_W5_T,15,1786992,548.43 ns,3.462 ns,3.238 ns,18.99 uj,0.11 uj,0.63 uj,49.6,0.042,0,352 B
Utf8Json_Deser_D10_W100_B,15,26842,"36,108.09 ns",211.904 ns,198.215 ns,1239.48 uj,6.77 uj,40.48 uj,50.3,0.149,0,1280 B
Utf8Json_Deser_D10_W100_N,15,25282,"39,542.59 ns",334.457 ns,312.851 ns,1356.99 uj,10.64 uj,44.35 uj,50.1,0.4746,0,4240 B
Utf8Json_Deser_D10_W100_T,15,15141,"65,320.08 ns",546.734 ns,511.416 ns,2249.15 uj,16.70 uj,73.94 uj,50.03,4.7553,0.2642,39840 B
Utf8Json_Deser_D10_W20_B,15,144825,"6,920.70 ns",49.948 ns,46.721 ns,237.50 uj,1.59 uj,7.77 uj,50.03,0.0552,0,480 B
Utf8Json_Deser_D10_W20_N,15,126333,"7,695.54 ns",113.799 ns,106.447 ns,264.10 uj,3.63 uj,8.65 uj,50.3,0.1187,0,1040 B
Utf8Json_Deser_D10_W20_T,15,70953,"13,847.59 ns",162.578 ns,152.076 ns,475.43 uj,5.10 uj,15.65 uj,50.53,0.9302,0,7840 B
Utf8Json_Deser_D10_W50_B,15,58626,"17,117.46 ns",119.806 ns,112.067 ns,587.48 uj,3.98 uj,19.19 uj,50.07,0.0853,0,800 B
Utf8Json_Deser_D10_W50_N,15,50204,"19,273.67 ns",75.480 ns,70.604 ns,661.37 uj,2.39 uj,21.66 uj,50.23,0.2589,0,2240 B
Utf8Json_Deser_D10_W50_T,15,27695,"35,925.51 ns",167.890 ns,157.044 ns,1233.14 uj,5.74 uj,40.58 uj,49.77,2.347,0.0722,19840 B
Utf8Json_Deser_D10_W5_B,15,557857,"1,737.73 ns",19.525 ns,18.264 ns,59.63 uj,0.61 uj,1.95 uj,50.2,0.0376,0,320 B
Utf8Json_Deser_D10_W5_N,15,511954,"1,953.08 ns",8.875 ns,8.301 ns,67.04 uj,0.27 uj,2.19 uj,50.03,0.0469,0,400 B
Utf8Json_Deser_D10_W5_T,15,314772,"3,137.04 ns",22.148 ns,20.718 ns,107.68 uj,0.72 uj,3.53 uj,50.67,0.2192,0,1840 B
Utf8Json_Deser_D20_W100_B,15,12380,"80,510.68 ns",653.171 ns,610.976 ns,2762.10 uj,20.58 uj,90.25 uj,49.53,0.2423,0,2560 B
Utf8Json_Deser_D20_W100_N,15,13248,"73,038.11 ns",519.593 ns,486.028 ns,2507.17 uj,15.88 uj,82.08 uj,49.73,0.9813,0,8480 B
Utf8Json_Deser_D20_W100_T,15,7668,"129,751.82 ns",965.165 ns,902.816 ns,4469.90 uj,34.49 uj,145.69 uj,50.2,9.5201,1.1737,79680 B
Utf8Json_Deser_D20_W20_B,15,69692,"13,972.12 ns",105.857 ns,99.019 ns,479.52 uj,3.34 uj,15.66 uj,49.97,0.1004,0,960 B
Utf8Json_Deser_D20_W20_N,15,64771,"15,003.52 ns",133.527 ns,124.902 ns,514.91 uj,4.15 uj,16.83 uj,50.17,0.247,0,2080 B
Utf8Json_Deser_D20_W20_T,15,35397,"27,746.42 ns",216.310 ns,202.336 ns,952.42 uj,6.99 uj,31.33 uj,49.93,1.8646,0.0283,15680 B
Utf8Json_Deser_D20_W50_B,15,28536,"33,932.56 ns",170.517 ns,159.501 ns,1164.08 uj,5.40 uj,38.08 uj,49.9,0.1752,0,1600 B
Utf8Json_Deser_D20_W50_N,15,25345,"38,127.73 ns",350.098 ns,327.482 ns,1308.26 uj,11.11 uj,42.78 uj,49.87,0.5129,0,4480 B
Utf8Json_Deser_D20_W50_T,15,13837,"71,417.29 ns",573.045 ns,536.027 ns,2450.59 uj,18.39 uj,80.42 uj,50.07,4.6976,0.2891,39680 B
Utf8Json_Deser_D20_W5_B,15,275041,"3,649.96 ns",23.735 ns,22.202 ns,125.23 uj,0.75 uj,4.09 uj,49.83,0.0764,0,640 B
Utf8Json_Deser_D20_W5_N,15,272397,"3,680.95 ns",36.769 ns,34.394 ns,126.29 uj,1.17 uj,4.13 uj,49.93,0.0954,0,800 B
Utf8Json_Deser_D20_W5_T,15,161006,"6,133.75 ns",56.961 ns,53.281 ns,210.50 uj,1.79 uj,6.90 uj,49.9,0.4348,0,3680 B
Utf8Json_Deser_D2_W100_B,15,146593,"6,842.34 ns",46.206 ns,43.221 ns,234.67 uj,1.48 uj,7.67 uj,49.63,0.0273,0,256 B
Utf8Json_Deser_D2_W100_N,15,122511,"7,914.62 ns",69.229 ns,64.757 ns,271.51 uj,2.19 uj,8.87 uj,49.93,0.098,0,848 B
Utf8Json_Deser_D2_W100_T,15,71387,"13,902.28 ns",118.521 ns,110.865 ns,477.17 uj,3.77 uj,15.60 uj,49.83,0.9526,0,7968 B
Utf8Json_Deser_D2_W20_B,15,703931,"1,424.13 ns",7.580 ns,7.091 ns,48.88 uj,0.25 uj,1.60 uj,49.63,0.0114,0,96 B
Utf8Json_Deser_D2_W20_N,15,579294,"1,673.10 ns",7.731 ns,7.232 ns,57.39 uj,0.25 uj,1.88 uj,49.47,0.0242,0,208 B
Utf8Json_Deser_D2_W20_T,15,351384,"2,813.05 ns",22.274 ns,20.835 ns,96.61 uj,0.69 uj,3.16 uj,49.83,0.185,0,1568 B
Utf8Json_Deser_D2_W50_B,15,302339,"3,337.34 ns",35.038 ns,32.774 ns,114.51 uj,1.12 uj,3.74 uj,49.9,0.0165,0,160 B
Utf8Json_Deser_D2_W50_N,15,261529,"3,828.15 ns",40.685 ns,38.057 ns,131.37 uj,1.30 uj,4.29 uj,49.57,0.0535,0,448 B
Utf8Json_Deser_D2_W50_T,15,143830,"6,910.87 ns",53.463 ns,50.009 ns,237.09 uj,1.74 uj,7.81 uj,50.1,0.4728,0,3968 B
Utf8Json_Deser_D2_W5_B,15,2771523,361.69 ns,2.670 ns,2.498 ns,12.41 uj,0.08 uj,0.41 uj,49.97,0.0076,0,64 B
Utf8Json_Deser_D2_W5_N,15,2439859,410.79 ns,3.154 ns,2.951 ns,14.10 uj,0.10 uj,0.46 uj,49.93,0.0094,0,80 B
Utf8Json_Deser_D2_W5_T,15,1478441,679.52 ns,5.030 ns,4.705 ns,23.33 uj,0.16 uj,0.76 uj,49.87,0.044,0,368 B
Utf8Json_Deser_D5_W100_B,15,56243,"17,177.97 ns",90.647 ns,84.792 ns,589.47 uj,3.01 uj,19.27 uj,49.77,0.0711,0,640 B
Utf8Json_Deser_D5_W100_N,15,50906,"19,556.69 ns",150.237 ns,140.532 ns,669.06 uj,5.31 uj,21.92 uj,49.53,0.2357,0,2120 B
Utf8Json_Deser_D5_W100_T,15,28695,"34,394.54 ns",258.421 ns,241.728 ns,1180.60 uj,8.42 uj,38.84 uj,50.17,2.3698,0.0697,19920 B
Utf8Json_Deser_D5_W20_B,15,299992,"3,288.19 ns",17.927 ns,16.769 ns,112.84 uj,0.57 uj,3.69 uj,49.97,0.0267,0,240 B
Utf8Json_Deser_D5_W20_N,15,268299,"3,729.47 ns",26.772 ns,25.042 ns,127.82 uj,0.85 uj,4.18 uj,50.07,0.0596,0,520 B
Utf8Json_Deser_D5_W20_T,15,136483,"7,259.10 ns",45.871 ns,42.907 ns,249.17 uj,1.50 uj,8.15 uj,49.83,0.4616,0,3920 B
Utf8Json_Deser_D5_W50_B,15,117087,"8,560.49 ns",61.272 ns,57.314 ns,293.79 uj,1.96 uj,9.60 uj,49.87,0.0427,0,400 B
Utf8Json_Deser_D5_W50_N,15,104965,"9,266.70 ns",54.767 ns,51.229 ns,317.96 uj,1.79 uj,10.39 uj,49.33,0.1334,0,1120 B
Utf8Json_Deser_D5_W50_T,15,54850,"17,982.19 ns",130.913 ns,122.456 ns,617.11 uj,4.10 uj,20.18 uj,49.6,1.1851,0.0182,9920 B
Utf8Json_Deser_D5_W5_B,15,1126111,898.45 ns,5.297 ns,4.955 ns,30.84 uj,0.17 uj,1.01 uj,49.67,0.0186,0,160 B
Utf8Json_Deser_D5_W5_N,15,971916,995.00 ns,4.211 ns,3.939 ns,34.15 uj,0.13 uj,1.12 uj,49.63,0.0237,0,200 B
Utf8Json_Deser_D5_W5_T,15,612571,"1,615.51 ns",12.644 ns,11.828 ns,55.46 uj,0.41 uj,1.82 uj,49.97,0.1094,0,920 B
Utf8Json_Ser_D10_W100_B,15,66829,"15,013.97 ns",144.768 ns,135.416 ns,515.37 uj,4.58 uj,17.00 uj,49.93,1.7058,0,14392 B
Utf8Json_Ser_D10_W100_N,15,41103,"24,449.25 ns",163.848 ns,153.264 ns,836.14 uj,5.25 uj,27.42 uj,49.57,1.776,0,14888 B
Utf8Json_Ser_D10_W100_T,15,34674,"28,973.85 ns",225.303 ns,210.748 ns,994.26 uj,7.03 uj,32.69 uj,50.2,1.7592,0,14888 B
Utf8Json_Ser_D10_W20_B,15,350008,"2,862.21 ns",23.345 ns,21.837 ns,98.26 uj,0.76 uj,3.25 uj,50.27,0.3343,0,2800 B
Utf8Json_Ser_D10_W20_N,15,212980,"4,701.76 ns",37.543 ns,35.117 ns,161.09 uj,1.17 uj,5.30 uj,49.77,0.3428,0,2888 B
Utf8Json_Ser_D10_W20_T,15,190844,"5,253.52 ns",40.352 ns,37.745 ns,180.35 uj,1.30 uj,5.90 uj,49.67,0.3406,0,2888 B
Utf8Json_Ser_D10_W50_B,15,139213,"7,193.08 ns",44.719 ns,41.830 ns,247.16 uj,1.26 uj,8.18 uj,49.73,0.8476,0,7144 B
Utf8Json_Ser_D10_W50_N,15,83331,"12,036.65 ns",118.983 ns,111.297 ns,412.02 uj,3.99 uj,13.52 uj,49.43,0.876,0,7392 B
Utf8Json_Ser_D10_W50_T,15,73486,"13,565.36 ns",102.797 ns,96.157 ns,465.76 uj,3.42 uj,15.22 uj,49.93,0.8709,0,7392 B
Utf8Json_Ser_D10_W5_B,15,1473117,681.72 ns,5.326 ns,4.981 ns,23.41 uj,0.17 uj,0.78 uj,50.07,0.0801,0,672 B
Utf8Json_Ser_D10_W5_N,15,903667,"1,107.35 ns",5.462 ns,5.109 ns,38.00 uj,0.18 uj,1.25 uj,50.07,0.0819,0,688 B
Utf8Json_Ser_D10_W5_T,15,772544,"1,295.45 ns",9.518 ns,8.903 ns,44.46 uj,0.30 uj,1.45 uj,49.93,0.0815,0,688 B
Utf8Json_Ser_D20_W100_B,15,33403,"29,988.94 ns",241.991 ns,226.358 ns,1029.86 uj,7.67 uj,33.94 uj,49.7,3.4129,0,28776 B
Utf8Json_Ser_D20_W100_N,15,20922,"47,942.51 ns",365.644 ns,342.024 ns,1643.22 uj,11.80 uj,54.13 uj,49.2,3.5369,0,29752 B
Utf8Json_Ser_D20_W100_T,15,13462,"74,761.94 ns",545.746 ns,510.491 ns,2565.06 uj,16.83 uj,84.15 uj,49.3,3.4913,0,29752 B
Utf8Json_Ser_D20_W20_B,15,166398,"6,036.32 ns",47.107 ns,44.064 ns,207.15 uj,1.49 uj,6.83 uj,49.6,0.6611,0,5568 B
Utf8Json_Ser_D20_W20_N,15,107426,"9,515.23 ns",154.681 ns,144.689 ns,322.39 uj,4.79 uj,10.72 uj,49.43,0.6795,0,5752 B
Utf8Json_Ser_D20_W20_T,15,95403,"10,503.79 ns",67.196 ns,62.855 ns,360.63 uj,2.10 uj,11.78 uj,50.13,0.6813,0,5752 B
Utf8Json_Ser_D20_W50_B,15,73833,"13,605.37 ns",131.872 ns,123.353 ns,467.11 uj,4.05 uj,15.41 uj,49.7,1.693,0,14248 B
Utf8Json_Ser_D20_W50_N,15,42308,"23,806.65 ns",293.648 ns,274.678 ns,815.34 uj,9.36 uj,26.71 uj,49.3,1.7491,0,14752 B
Utf8Json_Ser_D20_W50_T,15,35538,"28,237.95 ns",225.957 ns,211.360 ns,969.14 uj,6.97 uj,31.86 uj,49.6,1.7446,0,14752 B
Utf8Json_Ser_D20_W5_B,15,797484,"1,257.85 ns",11.725 ns,10.967 ns,43.18 uj,0.38 uj,1.41 uj,50.13,0.1567,0,1312 B
Utf8Json_Ser_D20_W5_N,15,468418,"2,141.20 ns",16.713 ns,15.633 ns,73.48 uj,0.52 uj,2.41 uj,49.47,0.1601,0,1352 B
Utf8Json_Ser_D20_W5_T,15,402057,"2,488.79 ns",18.313 ns,17.130 ns,85.50 uj,0.60 uj,2.79 uj,49.87,0.1592,0,1352 B
Utf8Json_Ser_D2_W100_B,15,337750,"2,947.98 ns",23.980 ns,22.431 ns,101.19 uj,0.77 uj,3.34 uj,49.93,0.3464,0,2912 B
Utf8Json_Ser_D2_W100_N,15,209495,"4,788.65 ns",33.115 ns,30.976 ns,163.00 uj,1.11 uj,5.38 uj,49.83,0.358,0,3000 B
Utf8Json_Ser_D2_W100_T,15,177782,"5,627.99 ns",43.373 ns,40.571 ns,193.16 uj,1.43 uj,6.32 uj,49.93,0.3544,0,3000 B
Utf8Json_Ser_D2_W20_B,15,1627922,614.32 ns,4.873 ns,4.558 ns,21.10 uj,0.15 uj,0.70 uj,49.63,0.0694,0,584 B
Utf8Json_Ser_D2_W20_N,15,1010973,991.15 ns,5.309 ns,4.966 ns,33.92 uj,0.17 uj,1.11 uj,49.3,0.0712,0,600 B
Utf8Json_Ser_D2_W20_T,15,987258,"1,016.29 ns",7.750 ns,7.250 ns,34.88 uj,0.24 uj,1.15 uj,49.7,0.0709,0,600 B
Utf8Json_Ser_D2_W50_B,15,676589,"1,478.81 ns",7.391 ns,6.914 ns,50.75 uj,0.23 uj,1.68 uj,49.83,0.1729,0,1456 B
Utf8Json_Ser_D2_W50_N,15,419106,"2,393.00 ns",18.183 ns,17.008 ns,81.19 uj,0.66 uj,2.70 uj,49.57,0.179,0,1504 B
Utf8Json_Ser_D2_W50_T,15,369390,"2,693.72 ns",18.109 ns,16.939 ns,92.44 uj,0.58 uj,3.04 uj,49.93,0.1787,0,1504 B
Utf8Json_Ser_D2_W5_B,15,5769265,173.91 ns,0.954 ns,0.893 ns,5.97 uj,0.03 uj,0.20 uj,49.97,0.0191,0,160 B
Utf8Json_Ser_D2_W5_N,15,4043589,248.17 ns,1.891 ns,1.769 ns,8.52 uj,0.06 uj,0.28 uj,49.67,0.019,0,160 B
Utf8Json_Ser_D2_W5_T,15,3425975,292.95 ns,2.224 ns,2.080 ns,10.05 uj,0.07 uj,0.33 uj,49.83,0.019,0,160 B
Utf8Json_Ser_D5_W100_B,15,138864,"7,232.08 ns",71.600 ns,66.975 ns,248.50 uj,2.26 uj,8.21 uj,49.63,0.857,0,7216 B
Utf8Json_Ser_D5_W100_N,15,81787,"12,248.55 ns",90.752 ns,84.890 ns,417.76 uj,3.61 uj,13.75 uj,49.3,0.8803,0,7464 B
Utf8Json_Ser_D5_W100_T,15,69747,"14,373.77 ns",113.585 ns,106.248 ns,493.33 uj,3.68 uj,16.21 uj,49.6,0.8889,0,7464 B
Utf8Json_Ser_D5_W20_B,15,589260,"1,698.43 ns",8.309 ns,7.772 ns,58.30 uj,0.27 uj,1.92 uj,49.27,0.168,0,1416 B
Utf8Json_Ser_D5_W20_N,15,415209,"2,414.80 ns",17.791 ns,16.641 ns,82.36 uj,0.66 uj,2.71 uj,49.07,0.1734,0,1464 B
Utf8Json_Ser_D5_W20_T,15,380560,"2,635.22 ns",19.827 ns,18.546 ns,90.46 uj,0.64 uj,2.97 uj,49.67,0.1734,0,1464 B
Utf8Json_Ser_D5_W50_B,15,274635,"3,648.79 ns",16.174 ns,15.129 ns,125.21 uj,0.52 uj,4.11 uj,49.63,0.426,0,3592 B
Utf8Json_Ser_D5_W50_N,15,164163,"6,110.17 ns",52.939 ns,49.519 ns,206.82 uj,1.65 uj,6.87 uj,48.9,0.4386,0,3712 B
Utf8Json_Ser_D5_W50_T,15,140987,"7,125.30 ns",55.406 ns,51.827 ns,244.60 uj,1.74 uj,8.05 uj,49.47,0.4398,0,3712 B
Utf8Json_Ser_D5_W5_B,15,2570663,390.43 ns,2.809 ns,2.627 ns,13.40 uj,0.09 uj,0.44 uj,49.4,0.042,0,352 B
Utf8Json_Ser_D5_W5_N,15,1686593,594.98 ns,4.686 ns,4.384 ns,20.41 uj,0.15 uj,0.67 uj,49.43,0.0427,0,360 B
Utf8Json_Ser_D5_W5_T,15,1514200,662.87 ns,6.442 ns,6.026 ns,22.75 uj,0.20 uj,0.75 uj,49.57,0.0429,0,360 B
